SKU;Style;Manufacturer;Name;Colour;Size;Farbtyp;Groessentyp;UVP;Weight KG;Status;Packshot;EAN;Manufacturer SKU
01000600205;01.0006;B&C Collection;B&C | Exact V-Neck;black;XXL;colors;all;3,75;0,19;ACTUAL;E3003CD4-D9A4-41FE-94A4-958603B6071C.jpg;;TU0060022X
01000600301;01.0006;B&C Collection;B&C | Exact V-Neck;navy;S;colors;all;3,75;0,16;ACTUAL;66F240E2-7DB5-420B-AD15-6A2B1823AE3E.jpg;;TU0060031S
01000600302;01.0006;B&C Collection;B&C | Exact V-Neck;navy;M;colors;all;3,75;0,17;ACTUAL;66F240E2-7DB5-420B-AD15-6A2B1823AE3E.jpg;;TU0060031M
01000600303;01.0006;B&C Collection;B&C | Exact V-Neck;navy;L;colors;all;3,75;0,17;ACTUAL;66F240E2-7DB5-420B-AD15-6A2B1823AE3E.jpg;;TU0060031L
01000600304;01.0006;B&C Collection;B&C | Exact V-Neck;navy;XL;colors;all;3,75;0,18;ACTUAL;66F240E2-7DB5-420B-AD15-6A2B1823AE3E.jpg;;TU006003XL
01000600305;01.0006;B&C Collection;B&C | Exact V-Neck;navy;XXL;colors;all;3,75;0,19;ACTUAL;66F240E2-7DB5-420B-AD15-6A2B1823AE3E.jpg;;TU0060032X
01000600401;01.0006;B&C Collection;B&C | Exact V-Neck;red;S;colors;all;3,75;0,16;ACTUAL;D1C4C23A-8265-4B60-9675-0A41B4ABA475.jpg;;TU0060041S
01000600402;01.0006;B&C Collection;B&C | Exact V-Neck;red;M;colors;all;3,75;0,17;ACTUAL;D1C4C23A-8265-4B60-9675-0A41B4ABA475.jpg;;TU0060041M
01000600403;01.0006;B&C Collection;B&C | Exact V-Neck;red;L;colors;all;3,75;0,17;ACTUAL;D1C4C23A-8265-4B60-9675-0A41B4ABA475.jpg;;TU0060041L
01000600404;01.0006;B&C Collection;B&C | Exact V-Neck;red;XL;colors;all;3,75;0,18;ACTUAL;D1C4C23A-8265-4B60-9675-0A41B4ABA475.jpg;;TU006004XL
01000600405;01.0006;B&C Collection;B&C | Exact V-Neck;red;XXL;colors;all;3,75;0,19;ACTUAL;D1C4C23A-8265-4B60-9675-0A41B4ABA475.jpg;;TU0060042X
01000645001;01.0006;B&C Collection;B&C | Exact V-Neck;royal blue;S;colors;all;3,75;0,16;ACTUAL;796CE214-20E7-4CC1-B88D-43C8B47FDC45.jpg;;TU0064501S
